system:index,e_salud,isInside_10km,key,name,.geo
00000000000000000047,170203A302,false,67,P.S. SAN JUAN GRANDE,"{""type"":""Point"",""coordinates"":[-70.20179054840938,-12.582049242061885]}"
0000000000000000004a,170203A305,false,69,P.S. BOCA AMIGO,"{""type"":""Point"",""coordinates"":[-70.08849816794448,-12.602534352301413]}"
00000000000000000055,170301A301,false,75,P.S. BELGICA,"{""type"":""Point"",""coordinates"":[-69.73117256412765,-10.973152072765966]}"
00000000000000000033,170104A301,true,24,P.S. LAS MERCEDES,"{""type"":""Point"",""coordinates"":[-69.4462895160251,-12.705481618322317]}"
00000000000000000000,170101A101,true,99,HOSP. SANTA ROSA,"{""type"":""Point"",""coordinates"":[-69.18309107634546,-12.601361608724357]}"
00000000000000000040,170201A306,false,89,P.S. SHINTUYA,"{""type"":""Point"",""coordinates"":[-71.29464933009318,-12.669180076646217]}"
0000000000000000005d,170302A307,false,82,P.S. FLOR DE ACRE,"{""type"":""Point"",""coordinates"":[-69.6141300796768,-11.33313975991171]}"
00000000000000000031,170103A313,false,36,P.S. LORETO,"{""type"":""Point"",""coordinates"":[-69.48670234887248,-11.979910072208765]}"
0000000000000000000a,170101A308,true,2,P.S. ALTA PASTORA,"{""type"":""Point"",""coordinates"":[-69.21705604906956,-12.585027921565587]}"
00000000000000000003,170101A301,false,7,P.S. PUERTO PARDO,"{""type"":""Point"",""coordinates"":[-68.65998055446256,-12.503939168908671]}"
0000000000000000004c,170203A307,true,63,P.S. PUNQUIRI CHICO,"{""type"":""Point"",""coordinates"":[-70.36090465129949,-12.910016124542828]}"
0000000000000000004b,170203A306,false,64,P.S. BAJO PUQUIRI,"{""type"":""Point"",""coordinates"":[-70.52150809394145,-12.789763087333501]}"
0000000000000000000e,170101A313,true,18,P.S. FITZCARRAL,"{""type"":""Point"",""coordinates"":[-69.34652604815636,-12.669438704507316]}"
00000000000000000050,170204A302,true,60,P.S. PUNQUIRI,"{""type"":""Point"",""coordinates"":[-70.39586846265956,-13.066561785226153]}"
0000000000000000000b,170101A309,false,6,P.S. PALMA REAL,"{""type"":""Point"",""coordinates"":[-68.77590826365005,-12.511408163173193]}"
00000000000000000060,170303A301,true,84,P.S. SHIRINGAYOC,"{""type"":""Point"",""coordinates"":[-69.084602911378,-11.90361931228536]}"
00000000000000000025,170102C301,true,55,POSTA MEDICA ESSALUD MAZUKO,"{""type"":""Point"",""coordinates"":[-70.36801245837869,-13.102841031396988]}"
0000000000000000004d,170203A308,false,57,P.S. ALTO PUQUIRI,"{""type"":""Point"",""coordinates"":[-70.54463745110567,-12.852498180054429]}"
0000000000000000001f,170102A308,true,48,P.S. SANTA ROSA,"{""type"":""Point"",""coordinates"":[-70.30155847537918,-12.925810260474133]}"
00000000000000000048,170203A303,false,68,P.S. GUACAMAYO PACAL,"{""type"":""Point"",""coordinates"":[-70.3073419294455,-12.624482047686474]}"
00000000000000000014,170101A331,true,16,P.S. CHONTA,"{""type"":""Point"",""coordinates"":[-69.22802543766103,-12.66867173912612]}"
00000000000000000029,170103A303,true,37,P.S. ALEGRIA,"{""type"":""Point"",""coordinates"":[-69.12306265796397,-12.121241280097735]}"
0000000000000000003f,170201A305,false,96,P.S. DIAMANTE,"{""type"":""Point"",""coordinates"":[-70.95683229338516,-12.33497045269045]}"
