system:index,area,class,key,year,.geo
0_00000000000000000047_0_0,70.89017073055898,0,67,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000047_0_1,3.617042338634966,3,67,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000047_0_2,2.6864135979305503,21,67,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000004a_0_0,73.94224175934362,0,69,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000004a_0_1,1.6752831825288566,3,69,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000004a_0_2,1.5671774306236124,21,69,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000055_0_0,7.653422532844611,0,75,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000055_0_1,67.13611767930578,3,75,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000055_0_2,0.9614894148293917,15,75,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000055_0_3,0.14039907019473802,18,75,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000055_0_4,1.281872104247318,21,75,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000033_0_0,19.688194528501885,0,24,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000033_0_1,21.054842170549794,3,24,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000033_0_2,36.44707314113387,21,24,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000000_0_0,27.85615192250533,0,99,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000000_0_1,3.7763363526977556,3,99,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000000_0_2,34.213525341644534,21,99,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000000_0_3,11.346451257757236,24,99,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000040_0_0,8.344262481472336,0,89,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000040_0_1,67.7622122996302,3,89,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000040_0_2,0.051495577514648436,15,89,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000040_0_3,0.4071749091737042,18,89,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000040_0_4,0.6135404276103888,21,89,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000040_0_5,0.019201037536621092,24,89,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000005d_0_0,3.0530497768310525,0,82,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000005d_0_1,69.44970070657372,3,82,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000005d_0_2,0.025914438356646374,15,82,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000005d_0_3,4.575634457060687,21,82,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000005d_0_4,0.07279081921386721,24,82,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000031_0_0,77.08224881302426,3,36,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000031_0_1,0.10500226086425783,21,36,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000a_0_0,28.32966770737379,0,2,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000a_0_1,4.196887626384176,3,2,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000a_0_2,33.13023551989395,21,2,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000a_0_3,11.535627883407194,24,2,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000003_0_0,58.81891957958412,0,7,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000003_0_1,17.52228694525972,3,7,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000003_0_2,0.11090873992919932,15,7,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000003_0_3,0.7396859942016616,21,7,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000004c_0_0,13.379996847834358,0,63,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000004c_0_1,61.45300306773799,3,63,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000004c_0_2,2.334514366469435,21,63,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000004c_0_3,0.023542921813964845,24,63,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000004b_0_0,47.75084835354268,0,64,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000004b_0_1,26.929947487287663,3,64,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000004b_0_2,2.514102366224341,21,64,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000e_0_0,1.3741431573443237,0,18,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000e_0_1,29.164460206206325,3,18,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000e_0_2,46.65389807709502,21,18,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000050_0_0,26.50121954092968,0,60,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000050_0_1,39.37434454319043,3,60,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000050_0_2,0.021784768432617185,15,60,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000050_0_3,10.96217007952127,21,60,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000050_0_4,0.3326632183976711,24,60,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000b_0_0,45.005168920639875,0,6,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000b_0_1,30.996663117632067,3,6,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000b_0_2,1.18429323528741,21,6,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000060_0_0,17.803571833367247,0,84,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000060_0_1,44.93030912171922,3,84,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000060_0_2,0.014004031188964846,15,84,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000060_0_3,14.257391110146079,21,84,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000060_0_4,0.18201701041786308,24,84,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000025_0_0,19.33377426128373,0,55,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000025_0_1,48.51404670068095,3,55,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000025_0_2,0.030493904541015616,15,55,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000025_0_3,0.03096965853702321,18,55,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000025_0_4,8.8267945184708,21,55,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000025_0_5,0.46179546850585956,24,55,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000004d_0_0,35.833535500185334,0,57,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000004d_0_1,36.22419091467108,3,57,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000004d_0_2,5.138912733002537,21,57,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000001f_0_0,0.9491259664646534,0,48,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000001f_0_1,69.5593159499902,3,48,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000001f_0_2,6.6108695032798055,21,48,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000001f_0_3,0.0775996237792968,24,48,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000048_0_0,51.58643765634547,0,68,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000048_0_1,22.879178903020467,3,68,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000048_0_2,2.720060705715761,21,68,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000048_0_3,0.006110445373535157,24,68,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000014_0_0,27.362814795774813,0,16,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000014_0_1,13.316809983529145,3,16,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000014_0_2,36.17887077436747,21,16,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000014_0_3,0.33223388901175654,24,16,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000029_0_0,5.024775404259224,0,37,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000029_0_1,51.77482849136946,3,37,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000029_0_2,20.04049842460636,21,37,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000029_0_3,0.34720386828613264,24,37,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000003f_0_0,38.84259406313962,0,96,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000003f_0_1,37.04573907008268,3,96,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000003f_0_2,1.3008036903758298,21,96,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000028_0_0,34.67331577382043,0,4,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000028_0_1,1.513286097801776,3,4,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000028_0_2,31.020764710470054,21,4,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000028_0_3,9.986336289549177,24,4,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000063_0_0,27.662452935264856,0,73,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000063_0_1,30.30860026220484,3,73,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000063_0_2,19.060307277993843,21,73,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000063_0_3,0.1499045961303712,24,73,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000002e_0_0,39.94493103510194,0,39,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000002e_0_1,36.12262547991474,3,39,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000002e_0_2,1.1247866029940705,21,39,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000004e_0_0,35.35593754372976,0,56,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000004e_0_1,38.0174284835249,3,56,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000004e_0_2,3.5762397916712056,21,56,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000004e_0_3,0.24668008789062515,24,56,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000004f_0_0,15.46703138095614,0,102,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000004f_0_1,56.1586340567468,3,102,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000004f_0_2,0.0270118871459961,15,102,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000004f_0_3,0.007659959962134267,18,102,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000004f_0_4,5.5328811137580605,21,102,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000006_0_0,39.99937635551175,0,12,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000006_0_1,2.051474750427005,3,12,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000006_0_2,32.107171936489046,21,12,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000006_0_3,3.0376008390701403,24,12,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000046_0_0,31.727190768076007,0,65,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000046_0_1,44.221996119275545,3,65,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000046_0_2,1.2128235598225916,21,65,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000046_0_3,0.028799358642578127,24,65,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000038_0_0,0.014798196672506895,0,27,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000038_0_1,65.01439952858969,3,27,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000038_0_2,12.163932604548291,21,27,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000003d_0_0,5.080304960118869,0,92,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000003d_0_1,69.41377425168963,3,92,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000003d_0_2,0.5094939017700202,15,92,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000003d_0_3,2.0909504629224576,18,92,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000003d_0_4,0.0994643062744141,21,92,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000049_0_0,21.371337454789433,0,66,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000049_0_1,54.40487672410479,3,66,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000049_0_2,1.3895362729403602,21,66,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000049_0_3,0.03402800939941406,24,66,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000037_0_0,74.0581049316832,0,30,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000037_0_1,0.22252085699462895,3,30,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000037_0_2,2.915268826095754,21,30,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000005f_0_0,7.068862609868261,0,71,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000005f_0_1,57.151882506413344,3,71,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000005f_0_2,12.616668037426548,21,71,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000005f_0_3,0.3469008240356448,24,71,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000003b_0_0,4.927159938593333,0,90,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000003b_0_1,69.6109478886677,3,90,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000003b_0_2,0.6772328053765998,15,90,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000003b_0_3,1.728897007464249,18,90,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000003b_0_4,0.24242555336698632,21,90,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000003b_0_5,0.007848286926269531,24,90,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000005_0_0,64.59669009196413,0,3,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000005_0_1,0.5295064715037632,3,3,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000005_0_2,12.060256738083087,21,3,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000008_0_0,22.36952198857779,0,19,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000008_0_1,6.749202668516407,3,19,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000008_0_2,36.2454654314812,21,19,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000008_0_3,11.83397697365663,24,19,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000039_0_0,41.89662568149206,0,28,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000039_0_1,34.45967459423181,3,28,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000039_0_2,0.8362526696801285,21,28,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000041_0_0,19.79082779456541,0,93,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
