"month","UBIGEO","e_salud","dx_code","dx_type","dengue_cases"
2000-05-01,170101,"170101A318","A97.0","D",1
2000-08-01,170101,"170101A318","A97.0","C",5
2000-08-01,170101,"170101A318","A97.0","D",4
2000-09-01,170101,"170101A318","A97.0","C",15
2000-09-01,170101,"170101A318","A97.0","D",23
2000-10-01,170101,"170101A318","A97.0","C",1
2000-10-01,170101,"170101A318","A97.0","D",3
2001-01-01,170101,"170101A318","A97.0","C",2
2001-02-01,170101,"170101A101","A97.0","P",1
2001-02-01,170101,"170101A318","A97.0","C",2
2001-02-01,170101,"170101A318","A97.0","D",1
2001-03-01,170302,"170101A101","A97.0","D",1
2001-03-01,170101,"170101A318","A97.0","C",4
2001-03-01,170101,"170101A318","A97.0","D",17
2001-03-01,170101,"170101A318","A97.0","P",1
2001-04-01,170203,"150122D103","A97.0","D",1
2001-04-01,170101,"170101A101","A97.0","C",6
2001-04-01,170103,"170101A101","A97.0","C",2
2001-04-01,170303,"170101A101","A97.0","C",1
2001-04-01,170101,"170101A101","A97.0","D",3
2001-04-01,170103,"170101A101","A97.0","D",1
2001-04-01,170101,"170101A101","A97.0","P",1
2001-04-01,170101,"170101A318","A97.0","C",1
2001-04-01,170101,"170101A318","A97.0","D",4
2001-04-01,170101,"170101A318","A97.0","P",1
2001-04-01,170302,"170302A101","A97.0","P",1
2001-05-01,170101,"170101A318","A97.0","D",1
2001-05-01,170101,"170101A318","A97.0","P",3
2001-06-01,170101,"170101A328","A97.0","P",1
2001-07-01,170101,"170101A101","A97.0","C",1
2001-07-01,170101,"170101A101","A97.0","D",1
2001-07-01,170101,"170101A318","A97.0","C",1
2001-07-01,170101,"170101A318","A97.0","D",7
2001-07-01,170101,"170101A318","A97.0","P",1
2001-08-01,170101,"170101A101","A97.0","D",1
2001-08-01,170103,"170101A101","A97.0","D",1
2001-08-01,170101,"170101A318","A97.0","D",1
2001-09-01,170101,"170101A318","A97.0","P",1
2001-10-01,170101,"170101A101","A97.0","D",1
2001-10-01,170101,"170101A101","A97.0","P",2
2001-10-01,170101,"170101A318","A97.0","C",1
2001-10-01,170302,"170101A318","A97.0","C",1
2001-10-01,170101,"170101A318","A97.0","D",1
2001-10-01,170101,"170101A318","A97.0","P",9
2001-11-01,170101,"170101A318","A97.0","P",50
2001-11-01,170302,"170101A318","A97.0","P",1
2001-11-01,170302,"170302A101","A97.0","C",1
2001-11-01,170302,"170302A101","A97.0","P",1
2001-12-01,170101,"170101A101","A97.0","P",1
2001-12-01,170101,"170101A318","A97.0","P",1
2001-12-01,170302,"170302A101","A97.0","P",4
2002-01-01,170101,"170101A101","A97.0","D",6
2002-01-01,170101,"170101A318","A97.0","C",1
2002-01-01,170101,"170101A318","A97.0","D",27
2002-01-01,170103,"170101A318","A97.0","D",1
2002-01-01,170101,"170101A327","A97.0","D",4
2002-01-01,170101,"170101A328","A97.0","D",3
2002-01-01,170302,"170302A101","A97.0","D",1
2002-02-01,170101,"170101A101","A97.0","C",1
2002-02-01,170103,"170101A101","A97.0","D",1
2002-02-01,170101,"170101A202","A97.0","D",1
2002-02-01,170101,"170101A310","A97.0","C",1
2002-02-01,170101,"170101A310","A97.0","D",2
2002-02-01,170101,"170101A318","A97.0","C",1
2002-02-01,170101,"170101A318","A97.0","D",4
2002-03-01,170101,"170101A101","A97.0","D",6
2002-03-01,170101,"170101A202","A97.0","D",1
2002-03-01,170101,"170101A318","A97.0","D",5
2002-03-01,170101,"170101C101","A97.0","D",5
2002-03-01,170303,"170103A202","A97.0","D",1
2002-04-01,170203,"150107A201","A97.0","D",1
2002-04-01,170101,"170101A101","A97.0","C",1
2002-04-01,170303,"170101A101","A97.0","C",1
2002-04-01,170101,"170101A101","A97.0","D",4
2002-04-01,170101,"170101A201","A97.0","D",3
2002-04-01,170101,"170101A202","A97.0","D",1
2002-04-01,170101,"170101C101","A97.0","D",2
2002-05-01,170203,"170101A101","A97.0","C",1
2002-05-01,170302,"170101A101","A97.0","D",3
2002-06-01,170203,"170101A101","A97.0","D",1
2002-06-01,170101,"170101A201","A97.0","D",1
2002-08-01,170201,"170201A201","A97.0","C",1
2002-09-01,170101,"170101A101","A97.0","C",1
2002-10-01,170101,"170101A101","A97.0","C",1
2002-10-01,170101,"170101A201","A97.0","C",1
2002-10-01,170101,"170101A201","A97.0","D",1
2002-11-01,170102,"170101A101","A97.0","C",1
2002-11-01,170101,"170101A201","A97.0","D",1
2002-12-01,170101,"170101A101","A97.0","D",1
2002-12-01,170101,"170101A318","A97.0","D",1
2002-12-01,170102,"170102A201","A97.0","D",1
2002-12-01,170302,"170302A101","A97.0","D",1
2003-01-01,170204,"170204A201","A97.0","D",1
2003-01-01,170302,"170302A101","A97.0","D",1
2003-02-01,170101,"170101A101","A97.0","D",1
2003-03-01,170101,"170101A101","A97.0","D",2
2003-03-01,170203,"170102A201","A97.0","D",1
2003-04-01,170101,"170101A101","A97.0","D",2
2003-04-01,170303,"170101A101","A97.0","D",1
2003-05-01,170101,"170101A101","A97.0","D",1
2003-05-01,170301,"170302A101","A97.0","D",1
2003-05-01,170302,"170302A101","A97.0","D",1
2003-06-01,170302,"170302A101","A97.0","D",1
2003-07-01,170302,"170302A101","A97.0","D",1
2003-08-01,170101,"170101A202","A97.0","D",1
2003-08-01,170302,"170302A101","A97.0","D",3
2003-09-01,170103,"170103A202","A97.0","D",2
2003-10-01,170101,"170101A202","A97.0","D",1
2003-11-01,170101,"170101A201","A97.0","D",2
2003-12-01,170101,"170101A202","A97.0","D",1
2004-01-01,170101,"170101A202","A97.0","D",1
2004-02-01,170101,"170101A201","A97.0","D",1
2004-02-01,170102,"170101A201","A97.0","D",1
2004-02-01,170101,"170101A318","A97.0","D",6
2004-03-01,170101,"170101A201","A97.0","D",6
2004-03-01,170101,"170101A318","A97.0","D",4
2004-11-01,170101,"170101A101","A97.0","D",1
2005-01-01,170101,"170101A101","A97.0","C",2
2005-02-01,170101,"170101A201","A97.0","C",1
2005-03-01,170101,"170101A202","A97.0","D",1
2005-03-01,170101,"170101A318","A97.0","C",2
2005-03-01,170101,"170302A101","A97.0","C",1
2005-04-01,170101,"170101A101","A97.0","C",6
2005-04-01,170101,"170101A101","A97.0","D",3
2005-04-01,170101,"170101A201","A97.0","D",1
2005-04-01,170101,"170101A202","A97.0","C",42
2005-04-01,170101,"170101A202","A97.0","D",20
2005-04-01,170101,"170101A318","A97.0","C",18
2005-04-01,170101,"170101A318","A97.0","D",1
2005-04-01,170101,"170103A202","A97.0","D",1
2005-04-01,170103,"170103A202","A97.0","D",2
2005-04-01,170104,"170104A201","A97.0","D",1
2005-04-01,170101,"170302A101","A97.0","C",1
2005-04-01,170302,"170302A101","A97.0","D",2
2005-04-01,170303,"170302A101","A97.0","D",1
2005-05-01,170101,"150121A101","A97.0","D",1
2005-05-01,170101,"170101A101","A97.0","C",3
2005-05-01,170101,"170101A101","A97.0","D",19
2005-05-01,170103,"170101A101","A97.0","D",1
2005-05-01,170101,"170101A201","A97.0","D",2
2005-05-01,170101,"170101A318","A97.0","C",9
2005-05-01,170101,"170101A318","A97.0","D",5
2005-06-01,170101,"170101A101","A97.0","D",13
2005-06-01,170104,"170101A101","A97.0","D",1
2005-07-01,170101,"170101A101","A97.0","D",5
2005-07-01,170104,"170101A101","A97.0","D",1
2006-05-01,170101,"170101A101","A97.0","P",2
2007-01-01,170204,"150137A202","A97.0","D",1
2007-01-01,170101,"170101A101","A97.0","C",14
2007-01-01,170101,"170101A101","A97.0","P",1
2007-01-01,170101,"170101A201","A97.0","C",1
2007-01-01,170101,"170101A202","A97.0","C",1
2007-01-01,170101,"170101A204","A97.0","C",1
2007-02-01,170101,"170101A101","A97.0","C",34
2007-02-01,170101,"170101A101","A97.0","D",1
2007-02-01,170101,"170101A101","A97.0","P",5
2007-02-01,170101,"170101A201","A97.0","C",22
2007-02-01,170101,"170101A202","A97.0","C",10
2007-02-01,170101,"170101A204","A97.0","C",3
2007-02-01,170302,"170302A101","A97.0","C",1
2007-03-01,170101,"170101A101","A97.0","C",12
2007-03-01,170101,"170101A101","A97.0","P",1
2007-03-01,170101,"170101A201","A97.0","C",3
2007-03-01,170101,"170101A201","A97.0","P",27
2007-03-01,170101,"170101A202","A97.0","C",28
2007-03-01,170302,"170302A101","A97.0","C",6
2007-03-01,170302,"170302A101","A97.0","D",1
2007-03-01,170302,"170302A101","A97.0","P",3
2007-04-01,170101,"170101A101","A97.0","C",8
2007-04-01,170103,"170101A101","A97.0","C",2
2007-04-01,170104,"170101A101","A97.0","C",1
2007-04-01,170101,"170101A101","A97.0","P",3
2007-04-01,170101,"170101A201","A97.0","C",2
2007-04-01,170101,"170101A201","A97.0","P",4
2007-04-01,170101,"170101A202","A97.0","C",20
2007-04-01,170101,"170101A202","A97.0","P",20
2007-04-01,170101,"170101A204","A97.0","C",5
2007-04-01,170101,"170101A204","A97.0","P",3
2007-04-01,170101,"170101C101","A97.0","C",1
2007-04-01,170101,"170101C101","A97.0","P",1
2007-04-01,170103,"170103A301","A97.0","C",1
2007-04-01,170302,"170302A101","A97.0","C",9
2007-04-01,170302,"170302A101","A97.0","P",18
2007-05-01,170101,"170101A101","A97.0","C",2
2007-05-01,170101,"170101A201","A97.0","C",2
2007-05-01,170101,"170101A202","A97.0","C",1
2007-05-01,170101,"170101A202","A97.0","P",10
