"month","UBIGEO","e_salud","dx_code","dx_type","leish_cases"
2000-01-01,170101,"080101A101","B55.1","C",2
2000-01-01,170104,"080101A101","B55.1","C",1
2000-01-01,170101,"080106A101","B55.1","C",1
2000-01-01,170201,"080106A101","B55.1","C",1
2000-01-01,170302,"080106A101","B55.1","C",1
2000-01-01,170203,"080401A201","B55.1","C",1
2000-01-01,170203,"080408A306","B55.1","C",1
2000-01-01,170102,"080504A301","B55.1","C",1
2000-01-01,170101,"080601A101","B55.2","C",1
2000-01-01,170104,"9999999003","B55.2","C",1
2000-01-01,170302,"9999999037","B55.1","C",1
2000-01-01,170101,"9999999037","B55.2","C",1
2000-02-01,170201,"080101A101","B55.1","C",1
2000-02-01,170101,"080101A101","B55.2","C",1
2000-02-01,170201,"080101A101","B55.2","C",1
2000-02-01,170203,"080104A201","B55.1","C",1
2000-02-01,170101,"080106A101","B55.1","C",2
2000-02-01,170101,"080106A101","B55.2","C",1
2000-02-01,170104,"080601A101","B55.1","C",1
2000-02-01,170101,"080601A101","B55.2","C",1
2000-02-01,170102,"080601A101","B55.2","C",2
2000-02-01,170101,"081201A201","B55.1","P",1
2000-02-01,170101,"150103A213","B55.1","C",1
2000-02-01,170101,"9999999037","B55.1","C",1
2000-02-01,170302,"9999999037","B55.1","C",2
2000-02-01,170101,"9999999042","B55.1","C",4
2000-02-01,170101,"9999999042","B55.2","P",1
2000-03-01,170101,"080101A101","B55.1","C",1
2000-03-01,170302,"080101A101","B55.1","C",1
2000-03-01,170101,"080106A101","B55.1","C",4
2000-03-01,170101,"080106A101","B55.2","C",1
2000-03-01,170102,"080504A301","B55.1","C",1
2000-03-01,170102,"080601A101","B55.2","C",1
2000-03-01,170302,"080601C201","B55.1","C",1
2000-03-01,170203,"150113D104","B55.2","C",1
2000-03-01,170104,"170104A201","B55.1","C",1
2000-03-01,170203,"9999999037","B55.1","C",1
2000-03-01,170302,"9999999037","B55.1","C",1
2000-03-01,170302,"9999999037","B55.2","C",1
2000-04-01,170101,"080106A101","B55.1","C",2
2000-04-01,170101,"080106A101","B55.2","C",1
2000-04-01,170102,"080106A101","B55.2","C",1
2000-04-01,170201,"080106A101","B55.2","C",1
2000-04-01,170101,"080601A101","B55.1","C",1
2000-04-01,170102,"080601A101","B55.1","C",2
2000-04-01,170101,"080601A101","B55.2","C",2
2000-04-01,170104,"080601A101","B55.2","C",1
2000-04-01,170104,"081201A201","B55.1","C",1
2000-04-01,170101,"9999999037","B55.1","C",2
2000-04-01,170102,"9999999037","B55.1","C",3
2000-04-01,170203,"9999999037","B55.1","C",1
2000-04-01,170302,"9999999037","B55.1","C",2
2000-04-01,170103,"9999999037","B55.2","C",2
2000-04-01,170101,"9999999042","B55.1","C",1
2000-05-01,170103,"040101A102","B55.1","P",1
2000-05-01,170101,"080101A101","B55.1","C",5
2000-05-01,170203,"080101A101","B55.1","C",1
2000-05-01,170203,"080101A101","B55.2","C",1
2000-05-01,170101,"080106A101","B55.1","C",2
2000-05-01,170101,"080106A101","B55.2","C",2
2000-05-01,170102,"080106A101","B55.2","C",1
2000-05-01,170201,"080201A201","B55.1","P",1
2000-05-01,170203,"080408A306","B55.1","C",1
2000-05-01,170102,"080601A101","B55.1","C",2
2000-05-01,170101,"080601A101","B55.2","C",2
2000-05-01,170102,"080601A101","B55.2","C",1
2000-05-01,170102,"080601A303","B55.2","C",1
2000-05-01,170101,"080601A305","B55.2","C",1
2000-05-01,170101,"081201A201","B55.1","C",1
2000-05-01,170203,"110101A101","B55.1","C",1
2000-05-01,170101,"170101A318","B55.1","C",2
2000-05-01,170101,"170101A322","B55.1","C",1
2000-05-01,170101,"9999999037","B55.1","C",3
2000-05-01,170102,"9999999037","B55.1","C",4
2000-05-01,170103,"9999999037","B55.1","C",1
2000-05-01,170104,"9999999037","B55.1","C",1
2000-05-01,170201,"9999999037","B55.1","C",1
2000-05-01,170203,"9999999037","B55.1","C",4
