"","key","year","population"
"1",1,2009-01-01,11790
"2",1,2010-01-01,14980
"3",1,2011-01-01,15583
"4",1,2012-01-01,16078
"5",1,2013-01-01,16567
"6",1,2014-01-01,17062
"7",1,2015-01-01,17557
"8",1,2016-01-01,17965
"9",1,2017-01-01,18372
"10",1,2020-01-01,22138
"11",1,2021-01-01,25848
"12",1,2022-01-01,28680
"13",2,2009-01-01,357
"14",2,2010-01-01,374
"15",2,2011-01-01,389
"16",2,2012-01-01,403
"17",2,2013-01-01,414
"18",2,2014-01-01,426
"19",2,2015-01-01,439
"20",2,2016-01-01,449
"21",2,2017-01-01,459
"22",2,2020-01-01,646
"23",2,2021-01-01,757
"24",2,2022-01-01,935
"25",3,2009-01-01,1277
"26",3,2010-01-01,1337
"27",3,2011-01-01,1391
"28",3,2012-01-01,1433
"29",3,2013-01-01,1479
"30",3,2014-01-01,1523
"31",3,2015-01-01,1567
"32",3,2016-01-01,1604
"33",3,2017-01-01,1640
"34",3,2020-01-01,1951
"35",3,2021-01-01,2271
"36",3,2022-01-01,2435
"37",4,2009-01-01,1046
"38",4,2010-01-01,880
"39",4,2011-01-01,832
"40",4,2012-01-01,834
"41",4,2013-01-01,835
"42",4,2014-01-01,837
"43",4,2015-01-01,839
"44",4,2016-01-01,1159
"45",4,2017-01-01,878
"46",4,2020-01-01,1219
"47",4,2021-01-01,1444
"48",4,2022-01-01,2511
"49",5,2009-01-01,281
"50",5,2010-01-01,236
"51",5,2011-01-01,222
"52",5,2012-01-01,223
"53",5,2013-01-01,223
"54",5,2014-01-01,224
"55",5,2015-01-01,224
"56",5,2016-01-01,125
"57",5,2017-01-01,234
"58",5,2020-01-01,236
"59",5,2021-01-01,276
"60",5,2022-01-01,481
"61",6,2009-01-01,926
"62",6,2010-01-01,970
"63",6,2011-01-01,1009
"64",6,2012-01-01,1040
"65",6,2013-01-01,1073
"66",6,2014-01-01,1105
"67",6,2015-01-01,1136
"68",6,2016-01-01,1164
"69",6,2017-01-01,1189
"70",6,2020-01-01,1111
"71",6,2021-01-01,1292
"72",6,2022-01-01,1408
"73",7,2009-01-01,80
"74",7,2010-01-01,84
"75",7,2011-01-01,90
"76",7,2012-01-01,94
"77",7,2013-01-01,96
"78",7,2014-01-01,99
"79",7,2015-01-01,102
"80",7,2016-01-01,104
"81",7,2017-01-01,107
"82",7,2020-01-01,109
"83",7,2021-01-01,129
"84",7,2022-01-01,456
"85",8,2009-01-01,399
"86",8,2010-01-01,418
"87",8,2011-01-01,435
"88",8,2012-01-01,451
"89",8,2013-01-01,462
"90",8,2014-01-01,476
"91",8,2015-01-01,490
"92",8,2016-01-01,501
"93",8,2017-01-01,513
"94",8,2020-01-01,492
"95",8,2021-01-01,572
"96",8,2022-01-01,913
"97",9,2009-01-01,1072
"98",9,2010-01-01,1126
"99",9,2011-01-01,1168
"100",9,2012-01-01,1208
"101",9,2013-01-01,1242
"102",9,2014-01-01,1279
"103",9,2015-01-01,1317
"104",9,2016-01-01,1347
"105",9,2017-01-01,1378
"106",9,2020-01-01,1639
"107",9,2021-01-01,1915
"108",9,2022-01-01,2325
"109",10,2009-01-01,677
"110",10,2010-01-01,709
"111",10,2011-01-01,737
"112",10,2012-01-01,760
"113",10,2013-01-01,784
"114",10,2014-01-01,807
"115",10,2015-01-01,831
"116",10,2016-01-01,449
"117",10,2017-01-01,870
"118",10,2020-01-01,880
"119",10,2021-01-01,1028
"120",10,2022-01-01,1336
"121",11,2009-01-01,709
"122",11,2010-01-01,740
"123",11,2011-01-01,835
"124",11,2012-01-01,864
"125",11,2013-01-01,887
"126",11,2014-01-01,911
"127",11,2015-01-01,940
"128",11,2016-01-01,962
"129",11,2017-01-01,984
"130",11,2020-01-01,973
"131",11,2021-01-01,1138
"132",11,2022-01-01,1420
"133",12,2009-01-01,453
"134",12,2010-01-01,472
"135",12,2011-01-01,494
"136",12,2012-01-01,509
"137",12,2013-01-01,525
"138",12,2014-01-01,541
"139",12,2015-01-01,557
"140",12,2016-01-01,569
"141",12,2017-01-01,583
"142",12,2020-01-01,601
"143",12,2021-01-01,702
"144",12,2022-01-01,907
"145",13,2009-01-01,884.420323583212
"146",13,2010-01-01,846.13344441657
"147",13,2011-01-01,922.06579340035
"148",13,2012-01-01,987.350642987421
"149",13,2013-01-01,971.577184457198
"150",13,2014-01-01,1074
"151",13,2015-01-01,1105
"152",13,2016-01-01,1131
"153",13,2017-01-01,1156
"154",13,2020-01-01,1195
"155",13,2021-01-01,1397
"156",13,2022-01-01,1806
"157",14,2009-01-01,7641
"158",14,2010-01-01,10539
"159",14,2011-01-01,25183
"160",14,2012-01-01,25968
"161",14,2013-01-01,26773
"162",14,2014-01-01,27573
"163",14,2015-01-01,28373
"164",14,2016-01-01,29033
"165",14,2017-01-01,29689
"166",14,2020-01-01,31995
"167",14,2021-01-01,37357
"168",14,2022-01-01,39133
"169",15,2009-01-01,370
"170",15,2010-01-01,387
"171",15,2011-01-01,403
"172",15,2012-01-01,417
"173",15,2013-01-01,429
"174",15,2014-01-01,442
"175",15,2015-01-01,455
"176",15,2016-01-01,1187
"177",15,2017-01-01,476
"178",15,2020-01-01,512
"179",15,2021-01-01,598
"180",15,2022-01-01,932
"181",16,2009-01-01,198
"182",16,2010-01-01,210
"183",16,2011-01-01,216
"184",16,2012-01-01,227
"185",16,2013-01-01,229
"186",16,2014-01-01,236
"187",16,2015-01-01,243
"188",16,2016-01-01,248
"189",16,2017-01-01,254
"190",16,2020-01-01,265
"191",16,2021-01-01,308
"192",16,2022-01-01,587
"193",17,2009-01-01,536
"194",17,2010-01-01,558
"195",17,2011-01-01,584
"196",17,2012-01-01,602
"197",17,2013-01-01,621
"198",17,2014-01-01,640
"199",17,2015-01-01,658
"200",17,2016-01-01,673
"201",17,2017-01-01,689
"202",17,2020-01-01,637
"203",17,2021-01-01,743
"204",17,2022-01-01,1016
"205",18,2009-01-01,287
"206",18,2010-01-01,303
"207",18,2011-01-01,312
"208",18,2012-01-01,312
"209",18,2013-01-01,333
"210",18,2014-01-01,343
"211",18,2015-01-01,353
"212",18,2016-01-01,361
"213",18,2017-01-01,369
"214",18,2020-01-01,406
"215",18,2021-01-01,480
"216",18,2022-01-01,844
"217",19,2009-01-01,2617
"218",19,2010-01-01,2741
"219",19,2011-01-01,2852
"220",19,2012-01-01,2942
"221",19,2013-01-01,3032
"222",19,2014-01-01,3123
"223",19,2015-01-01,3212
"224",19,2016-01-01,3298
"225",19,2017-01-01,3361
"226",19,2020-01-01,3838
"227",19,2021-01-01,4482
"228",19,2022-01-01,5882
"229",20,2009-01-01,843
"230",20,2010-01-01,883
"231",20,2011-01-01,918
"232",20,2012-01-01,947
"233",20,2013-01-01,976
"234",20,2014-01-01,1005
"235",20,2015-01-01,1034
"236",20,2016-01-01,1058
"237",20,2017-01-01,1082
"238",20,2020-01-01,1052
"239",20,2021-01-01,1226
"240",20,2022-01-01,1490
"241",21,2009-01-01,223
