"","biannual_date","key","biannual_cases_C","biannual_cases_CP","onekm","twokm","threekm","fourkm","fivekm","tenkm","fifteenkm","twentykm","thirtykm","fortykm","population","urban","ag","all_cutoffs","clust","mean_temp","sum_precip"
"1",2000-04-01,1,0,0,"1","1","1","1","1","1","1","1","1","1",7650.39399592626,11.6972112734097,34.4906162010372,1,1,296.722904193695,0.174877033127286
"2",2000-04-01,2,0,0,"1","1","1","1","1","1","1","1","1","1",230.039709929516,11.5356278834072,33.130235519894,1,1,296.722989730604,0.174999409877783
"3",2000-04-01,3,0,0,"0","0","0","0","0","0","1","1","1","1",1550.00980045725,0,12.0602567380831,4,4,296.622764063847,0.180449440865722
"4",2000-04-01,4,0,0,"1","1","1","1","1","1","1","1","1","1",696.427828726336,9.98633628954918,31.02076471047,1,1,296.71303174202,0.172038421526441
"5",2000-04-01,5,0,0,"0","0","0","0","0","0","0","0","0","1",134.667873648265,0,0.744340563232424,7,27,296.884306764546,0.122120211518498
"6",2000-04-01,6,0,0,"0","0","0","0","0","0","0","0","0","1",413.249498542177,0,1.18429323528741,7,6,296.899640077317,0.153143392792302
"7",2000-04-01,7,0,0,"0","0","0","0","0","0","0","0","0","0",53.8015942617346,0,0.850594734130861,0,2,296.915433060795,0.0948420187075973
"8",2000-04-01,8,0,0,"0","0","0","0","0","0","0","0","0","0",287.362294171913,0,0.312565111022949,0,7,296.840533662816,0.112139992098973
"9",2000-04-01,9,0,0,"1","1","1","1","1","1","1","1","1","1",675.851138737113,10.9601870383503,32.5330677924934,1,1,296.720100723762,0.159190112037525
"10",2000-04-01,10,1,1,"0","0","1","1","1","1","1","1","1","1",940.384811610942,1.00661883448151,38.9989464651195,2,3,296.712323973429,0.162131667813772
"11",2000-04-01,11,0,0,"0","0","0","0","0","1","1","1","1","1",895.925547991486,0.57169633598154,27.7229226019997,3,3,296.714093087537,0.143125743367942
"12",2000-04-01,12,0,0,"0","0","0","1","1","1","1","1","1","1",458.959679148798,3.03760083907014,32.107171936489,2,3,296.717160736275,0.142619797989283
"13",2000-04-01,13,0,0,"1","1","1","1","1","1","1","1","1","1",567.930784120986,10.5253758317706,30.6703979630888,1,1,296.719333241438,0.12598997869384
"14",2000-04-01,14,0,0,"0","1","1","1","1","1","1","1","1","1",4872.58527077772,12.0172089280856,35.7930203836333,2,1,296.723017156594,0.135013875597652
"15",2000-04-01,15,0,0,"0","0","0","0","1","1","1","1","1","1",209.290422191824,7.39312618627621,34.3252222702702,2,1,296.723017156594,0.143867244489302
"16",2000-04-01,16,0,0,"0","0","0","0","1","1","1","1","1","1",154.716703606305,0.332233889011757,36.1788707743675,2,11,296.673679285651,0.132984861963924
"17",2000-04-01,17,0,0,"1","1","1","1","1","1","1","1","1","1",770.489137902753,0,50.0517002241557,1,10,296.642608333346,0.173145997263975
"18",2000-04-01,18,0,0,"1","1","1","1","1","1","1","1","1","1",384.229054727153,0,46.653898077095,1,8,296.671101905233,0.137389364079523
"19",2000-04-01,19,0,0,"0","1","1","1","1","1","1","1","1","1",1637.0112775899,11.8339769736566,36.2454654314812,2,1,296.723017156594,0.150507271158039
"20",2000-04-01,20,0,0,"0","0","0","0","0","0","1","1","1","1",1003.88693069647,0,13.8628119810421,4,11,296.663543532398,0.141139044063013
"21",2000-04-01,21,0,0,"0","0","0","0","0","0","1","1","1","1",240.568922173166,0,15.0620190318251,4,5,296.604153488254,0.130794436848451
"22",2000-04-01,22,0,0,"0","0","0","0","0","1","1","1","1","1",316.581871441953,0,26.7011297283934,3,5,296.653469535015,0.14944751325259
"23",2000-04-01,23,1,1,"0","0","0","0","0","1","1","1","1","1",1449.18771513557,0.206808261047363,12.5731653522892,3,35,296.562779045105,0.151332525989438
"24",2000-04-01,24,0,0,"1","1","1","1","1","1","1","1","1","1",632.943191001931,0,36.4470731411339,1,10,296.621293056668,0.148603845397082
"25",2000-04-01,25,0,0,"0","0","0","0","0","1","1","1","1","1",170.957865841401,0,4.33521227708574,3,37,296.560521894147,0.176872756756556
"26",2000-04-01,26,0,0,"0","0","0","0","0","0","1","1","1","1",43.4066147942621,0,2.82349979908063,4,22,296.555767699469,0.139603331802528
"27",2000-04-01,27,0,0,"1","1","1","1","1","1","1","1","1","1",699.92557403549,0,12.1639326045483,1,38,296.510714967928,0.170487809441036
"28",2000-04-01,28,0,0,"0","0","0","0","0","0","0","0","1","1",201.145291523636,0,0.836252669680128,6,39,296.485170785982,0.190389976921032
"29",2000-04-01,29,0,0,"0","0","0","0","0","0","1","1","1","1",190.398253990216,0,4.05073021870834,4,37,296.555199060546,0.157016096733243
"30",2000-04-01,30,0,0,"0","0","0","0","0","0","0","1","1","1",230.528072098213,0,2.91526882609575,5,22,296.556889106122,0.153200789106307
"31",2000-04-01,31,0,0,"0","0","0","0","0","0","0","0","1","1",354.829218877437,0.102998569091797,1.38002835997721,6,36,296.516620988719,0.160033139631908
"32",2000-04-01,32,0,0,"0","0","0","0","0","0","0","1","1","1",112.60342880339,0,2.81937598215068,5,22,296.564420941853,0.182743712812474
"33",2000-04-01,34,1,1,"1","1","1","1","1","1","1","1","1","1",821.34542987725,0.323397867553711,18.5950314308298,1,24,296.557714782678,0.131410252865473
"34",2000-04-01,35,0,0,"0","0","0","0","0","0","0","0","0","1",163.986568505217,0,0.242415770602596,7,29,296.456627913141,0.181207932115767
"35",2000-04-01,36,0,0,"0","0","0","0","0","0","0","0","0","1",150.924448526431,0,0.105002260864258,7,34,296.46003743403,0.165059474629364
"36",2000-04-01,37,0,0,"1","1","1","1","1","1","1","1","1","1",1042.9938011279,0.347203868286133,20.0404984246064,1,26,296.569679525149,0.118328525921269
"37",2000-04-01,38,2,2,"1","1","1","1","1","1","1","1","1","1",1056.36841457855,0.406073492248536,16.5744112294064,1,25,296.647175497066,0.167177057816299
"38",2000-04-01,39,0,0,"0","0","0","0","0","0","0","0","1","1",144.973131885974,0,1.12478660299407,6,31,296.524412283498,0.144398962727487
"39",2000-04-01,40,0,0,"0","0","0","0","0","0","0","1","1","1",63.6916081751713,0,0.427111333809647,5,33,296.718054866683,0.162953710165305
"40",2000-04-01,41,0,0,"1","1","1","1","1","1","1","1","1","1",592.494924742287,0.179112396240235,33.3204622556796,1,30,296.646412895332,0.138333745028707
"41",2000-04-01,42,0,0,"0","0","0","0","0","0","1","1","1","1",236.166553750807,0,4.69931467413562,4,28,296.549651219366,0.120878362716603
"42",2000-04-01,43,0,0,"0","0","0","0","0","0","0","0","0","0",84.8827281942029,0,0.0674393021240234,0,12,296.358792105767,0.138450738200005
"43",2000-04-01,44,0,0,"0","0","0","0","0","0","1","1","1","1",605.164062930543,0,10.0257240198312,4,9,296.565135033388,0.151630796502527
"44",2000-04-01,45,2,2,"1","1","1","1","1","1","1","1","1","1",1346.74243988063,0.46179546850586,9.24053094694331,1,13,294.331673038001,0.253953578052106
"45",2000-04-01,46,0,0,"0","0","0","0","0","0","1","1","1","1",214.61555833506,0.0243959680786133,1.07981128738966,4,16,294.82807083554,0.213397232103801
"46",2000-04-01,47,0,0,"1","1","1","1","1","1","1","1","1","1",135.466394308984,0,0.643989135714661,1,17,293.362251948492,0.191268496159288
"47",2000-04-01,48,0,0,"1","1","1","1","1","1","1","1","1","1",214.121009877929,0.0775996237792968,6.6108695032798,1,19,295.953346962285,0.210371806433326
"48",2000-04-01,49,0,0,"1","1","1","1","1","1","1","1","1","1",213.759028878696,0,8.27926187876975,1,14,296.169962525681,0.190094004523429
"49",2000-04-01,50,0,0,"1","1","1","1","1","1","1","1","1","1",130.164914980271,0,6.95980854519325,1,23,296.216772129829,0.206468190183454
"50",2000-04-01,51,0,0,"0","0","0","0","0","1","1","1","1","1",197.953247496099,0,0.871557314537857,3,18,296.447347857509,0.114823956240787
"51",2000-04-01,52,0,0,"1","1","1","1","1","1","1","1","1","1",80.5446349032845,0,4.48194839496033,1,20,296.148179634354,0.144003313307119
"52",2000-04-01,53,0,0,"1","1","1","1","1","1","1","1","1","1",22.6989374517913,0.095048608215332,3.74483583036802,1,21,296.143070905152,0.185561302211537
"53",2000-04-01,54,0,0,"0","0","0","0","0","0","1","1","1","1",41.204540809532,0.00785184924316406,0.744487483901801,4,15,296.454933420994,0.166644180306828
"54",2000-04-01,55,0,0,"1","1","1","1","1","1","1","1","1","1",464.185140348527,0.46179546850586,8.88825808154884,1,13,294.32327941109,0.243452552060964
"55",2000-04-01,56,1,1,"0","0","0","0","0","0","0","0","1","1",1792.88321958025,0.246680087890625,3.57623979167121,6,55,295.21104398683,0.240341544524124
"56",2000-04-01,57,0,0,"0","0","0","0","0","0","0","0","1","1",593.167384697844,0,5.13891273300254,6,54,296.008107710813,0.212065686765348
"57",2000-04-01,58,0,0,"0","0","0","0","0","0","0","0","1","1",322.007101877397,0,2.84355195561092,6,57,295.153498736726,0.176237114274994
"58",2000-04-01,59,0,0,"0","0","0","0","0","0","0","1","1","1",372.114790709497,0.246680087890625,5.94204078486065,5,55,295.233214884249,0.228328279567268
"59",2000-04-01,60,0,0,"0","0","0","0","1","1","1","1","1","1",128.617810940358,0.332663218397671,10.9839548479539,2,56,294.452571148239,0.228198168079707
"60",2000-04-01,61,1,1,"0","0","0","0","0","1","1","1","1","1",178.273366491682,0,8.34686710172401,3,56,294.946209060005,0.24927126323746
"61",2000-04-01,62,0,0,"0","0","0","0","0","0","0","0","0","1",1255.45629933748,0.133560248657227,4.83882504026001,7,49,296.231810944397,0.142099867732507
"62",2000-04-01,63,0,0,"0","0","0","0","0","1","1","1","1","1",530.608431912444,0.0235429218139648,2.33451436646944,3,19,295.866583738394,0.232490776180049
"63",2000-04-01,64,0,0,"0","0","0","0","0","0","0","0","1","1",1416.37179601834,0,2.51410236622434,6,54,296.112789388521,0.206846451976229
"64",2000-04-01,65,1,1,"0","0","0","0","0","0","0","0","0","1",164.052885179325,0.0287993586425781,1.21282355982259,7,50,296.179562490755,0.208627232006121
"65",2000-04-01,66,0,0,"0","0","0","0","0","0","0","0","0","1",364.2033813239,0.0340280093994141,1.38953627294036,7,52,296.070385932652,0.177070950412473
"66",2000-04-01,67,0,0,"0","0","0","0","0","0","0","0","0","1",1448.0177274255,0,2.68641359793055,7,32,296.331471134385,0.140321764759578
"67",2000-04-01,68,0,0,"0","0","0","0","0","0","0","0","0","1",794.218658529605,0.00611044537353516,2.72006070571576,7,51,296.28116338837,0.171896894043135
"68",2000-04-01,69,2,2,"0","0","0","0","0","0","0","0","0","1",851.469830387188,0,1.56717743062361,7,53,296.386021130515,0.1644001347593
"69",2000-04-01,70,1,1,"1","1","1","1","1","1","1","1","1","1",945.770261125464,1.72374796612549,34.1388262912033,1,61,296.826323278603,0.138818169197953
"70",2000-04-01,71,0,0,"1","1","1","1","1","1","1","1","1","1",349.124601751493,0.346900824035645,12.6166680374265,1,66,296.703507166747,0.116654229809446
"71",2000-04-01,72,0,0,"1","1","1","1","1","1","1","1","1","1",217.954716916553,0.107701077392578,6.67285681547374,1,68,296.641014208748,0.166256055550245
"72",2000-04-01,73,0,0,"1","1","1","1","1","1","1","1","1","1",206.754360707476,0.149904596130371,19.0603072779938,1,69,296.870234878065,0.125540190345551
"73",2000-04-01,74,2,2,"1","1","1","1","1","1","1","1","1","1",304.901151061307,2.1645998744507,26.682328771692,1,58,297.085856198123,0.045339530303463
"74",2000-04-01,75,0,0,"0","0","0","0","0","0","0","1","1","1",74.2982407138266,0,2.38376058927145,5,59,297.00547656483,0.118151391351833
"75",2000-04-01,76,0,0,"1","1","1","1","1","1","1","1","1","1",84.9294597672426,0.0877955924072265,12.2575123537769,1,60,297.028277869437,0.105146697216793
"76",2000-04-01,77,0,0,"0","0","0","0","1","1","1","1","1","1",66.8163764210424,0.642543654359107,21.5621128699045,2,61,296.813621019295,0.110708083419429
"77",2000-04-01,78,1,1,"1","1","1","1","1","1","1","1","1","1",2123.55950630037,1.72374796612549,37.5986103174098,1,61,296.826323278603,0.127562641965686
"78",2000-04-01,79,0,0,"1","1","1","1","1","1","1","1","1","1",234.24550732924,0.221086303405762,11.8120513606567,1,62,296.754786369934,0.110245204724367
"79",2000-04-01,80,0,0,"0","0","0","1","1","1","1","1","1","1",164.878087081994,0.0166607393188477,23.2689815463173,2,63,296.819906645607,0.117974128844541
"80",2000-04-01,81,0,0,"1","1","1","1","1","1","1","1","1","1",191.359488611121,0,19.6428012066516,1,64,296.865452487039,0.133236833922512
"81",2000-04-01,82,0,0,"0","0","0","0","0","0","1","1","1","1",368.916182873605,0.0727908192138672,4.60154889541733,4,65,296.741969557048,0.105051153902705
"82",2000-04-01,83,0,0,"1","1","1","1","1","1","1","1","1","1",125.715458309859,0.100665081359863,12.0236077295032,1,67,296.662430200094,0.135983005043957
"83",2000-04-01,84,1,1,"0","0","0","1","1","1","1","1","1","1",310.274456863298,0.182017010417863,14.271395141335,2,25,296.672889996373,0.143600331730581
"84",2000-04-01,85,0,0,"0","0","0","1","1","1","1","1","1","1",49.526529977288,0.0866606015625,7.59021315450797,2,67,296.690036760849,0.147621325516142
"85",2000-04-01,86,0,0,"0","0","0","0","0","0","1","1","1","1",51.8216359503877,0.0210066762695312,6.72302224740125,4,70,296.73360886363,0.1235979408616
"86",2000-04-01,87,0,0,"0","1","1","1","1","1","1","1","1","1",1327.55451617459,1.72374796612549,33.855508195724,2,61,296.826323278603,0.138818169197953
"87",2000-04-01,88,0,0,"0","0","0","0","0","0","0","0","0","0",312.491954251157,0.320971729736328,3.17826500353789,0,40,292.921287540343,0.385375172917347
