"year","key","yearly_cases_C","yearly_cases_CP","onekm","twokm","threekm","fourkm","fivekm","tenkm","fifteenkm","twentykm","thirtykm","fortykm","population","urban","ag","all_cutoffs","clust","mean_temp","sum_precip"
2000-01-01,1,0,0,"1","1","1","1","1","1","1","1","1","1",7650.39399592626,11.6972112734097,34.4906162010372,1,1,297.503224038362,0.658330117272832
2000-01-01,2,0,0,"1","1","1","1","1","1","1","1","1","1",230.039709929516,11.5356278834072,33.130235519894,1,1,297.503219376534,0.658916629314858
2000-01-01,3,0,0,"0","0","0","0","0","0","1","1","1","1",1550.00980045725,0,12.0602567380831,4,4,297.398024660846,0.681693826792998
2000-01-01,4,1,1,"1","1","1","1","1","1","1","1","1","1",696.427828726336,9.98633628954918,31.02076471047,1,1,297.492459285663,0.648019851424658
2000-01-01,5,0,0,"0","0","0","0","0","0","0","0","0","1",134.667873648265,0,0.744340563232424,7,27,297.608608806517,0.46468246119324
2000-01-01,6,0,0,"0","0","0","0","0","0","0","0","0","1",413.249498542177,0,1.18429323528741,7,6,297.645053769418,0.595657825659121
2000-01-01,7,0,0,"0","0","0","0","0","0","0","0","0","0",53.8015942617346,0,0.850594734130861,0,2,297.664891238154,0.376755654938878
2000-01-01,8,0,0,"0","0","0","0","0","0","0","0","0","0",287.362294171913,0,0.312565111022949,0,7,297.583907263096,0.456922691980208
2000-01-01,9,0,0,"1","1","1","1","1","1","1","1","1","1",675.851138737113,10.9601870383503,32.5330677924934,1,1,297.50012306395,0.59986355709448
2000-01-01,10,2,2,"0","0","1","1","1","1","1","1","1","1",940.384811610942,1.00661883448151,38.9989464651195,2,3,297.493484561841,0.585155172181816
2000-01-01,11,0,0,"0","0","0","0","0","1","1","1","1","1",895.925547991486,0.57169633598154,27.7229226019997,3,3,297.497044829533,0.505310916135019
2000-01-01,12,2,2,"0","0","0","1","1","1","1","1","1","1",458.959679148798,3.03760083907014,32.107171936489,2,3,297.499196164658,0.515066211182591
2000-01-01,13,0,0,"1","1","1","1","1","1","1","1","1","1",567.930784120986,10.5253758317706,30.6703979630888,1,1,297.499286170519,0.474779973592899
2000-01-01,14,0,0,"0","1","1","1","1","1","1","1","1","1",4872.58527077772,12.0172089280856,35.7930203836333,2,1,297.503303258988,0.508673239573097
2000-01-01,15,0,0,"0","0","0","0","1","1","1","1","1","1",209.290422191824,7.39312618627621,34.3252222702702,2,1,297.503303258988,0.542028861840185
2000-01-01,16,0,0,"0","0","0","0","1","1","1","1","1","1",154.716703606305,0.332233889011757,36.1788707743675,2,11,297.452527874027,0.533573322641636
