key,e_salud,name,latitude,longitude
99,170101A101,HOSP. SANTA ROSA,-12.6013600000000,-69.1830900000000
1,170101A201,C.S. JORGE CHAVEZ,-12.5851990970857,-69.1973461970433
14,170101A202,C.S. NUEVO MELENIO,-12.5938800000000,-69.1992600000000
7,170101A301,P.S. PUERTO PARDO,-12.5039400000000,-68.6599800000000
10,170101A302,P.S. LA CACHUELA,-12.5372800000000,-69.1700900000000
3,170101A303,P.S. TRES ISLAS,-12.5480940197647,-69.3705782745239
12,170101A304,P.S. EL PRADO,-12.5428400000000,-69.1942000000000
22,170101A305,P.S. LOERO,-12.6646000000000,-69.1587300000000
19,170101A306,P.S. LA JOYA,-12.6031747273436,-69.2103903036223
15,170101A307,P.S. BAJO TAMBOPATA,-12.6297500000000,-69.1855100000000
2,170101A308,P.S. ALTA PASTORA,-12.5850300000000,-69.2170600000000
6,170101A309,P.S. PALMA REAL,-12.5114100000000,-68.7759100000000
21,170101A310,P.S. JORGE CHAVEZ,-12.6685700000000,-69.1193700000000
8,170101A312,P.S. SONENE,-12.5708000000000,-68.7015400000000
18,170101A313,P.S. FITZCARRAL,-12.6694400000000,-69.3465300000000
44,170101A314,P.S. PARIAMARCA,-12.4265100000000,-69.2680500000000
17,170101A320,P.S. SAN BERNARDO,-12.6872600000000,-69.3994400000000
9,170101A324,P.S. UNION,-12.6007200000000,-69.1787800000000
13,170101A325,P.S. AA. HH. PUEBLO VIEJO,-12.5960400000000,-69.1736100000000
20,170101A327,P.S. INFIERNO,-12.7296100000000,-69.2282400000000
16,170101A331,P.S. CHONTA,-12.6686700000000,-69.2280300000000
43,170101A332,P.S. MONTE SALVADO,-11.7184992564395,-70.3755918417552
11,170101A333,P.S. OTILIA,-12.5300100000000,-69.2116400000000
100,170101C101,HOSP. VICTOR ALFREDO LAZO PERALTA ESSALUD,-12.5814000000000,-69.1988000000000
101,170101X301,CENTRO MEDICO DEL ESTABLECIMIENTO PENAL PUERTO MALDONADO,-12.5990300000000,-69.2002100000000
45,170102A201,C.S. MAZUKO,-13.1009300000000,-70.3671900000000
49,170102A301,P.S. SANTA RITA,-12.9143100000000,-70.1954900000000
54,170102A302,P.S. JAYAVE,-12.7718100000000,-69.9492600000000
46,170102A303,P.S. CABECERA MALINOWSKY,-13.1060200000000,-70.2513700000000
47,170102A306,P.S. PUENTE INAMBARI,-13.1866400000000,-70.3857900000000
51,170102A307,P.S. SARAYACU,-12.7966800000000,-70.0372700000000
48,170102A308,P.S. SANTA ROSA,-12.9258100000000,-70.3015600000000
52,170102A309,P.S. UNION PROGRESO,-12.8804900000000,-69.8284900000000
53,170102A310,P.S. ALTO LIBERTAD,-12.8985200000000,-69.9455600000000
32,170102A311,P.S. LAGO INAMBARILLO,-12.7222900000000,-69.8037100000000
26,170102A312,P.S. AMARACAYRE,-12.7198300000000,-69.7369300000000
50,170102A313,P.S. PRIMAVERA BAJA,-12.9095800000000,-70.1108300000000
55,170102C301,POSTA MEDICA ESSALUD MAZUKO,-13.1028400000000,-70.3680100000000
34,170103A201,P.S. PLANCHON,-12.2794800000000,-69.1535000000000
38,170103A202,P.S. MAVILA,-11.9355300000000,-69.1188500000000
4,170103A301,P.S. EL TRIUNFO,-12.5855500000000,-69.1693400000000
37,170103A303,P.S. ALEGRIA,-12.1212400000000,-69.1230600000000
5,170103A304,P.S. LAGO VALENCIA,-12.4061500000000,-68.8030400000000
42,170103A305,P.S. SABALUYOC,-12.3202500000000,-69.2725000000000
35,170103A306,P.S. LUCERNA,-12.0979500000000,-69.4706600000000
41,170103A307,P.S. SUDADERO,-12.3792600000000,-69.1479200000000
39,170103A310,P.S. TIPISHCA,-12.2255716700000,-69.3576000000000
103,170103A311,P.S. NUEVO SAN JUAN,-12.6404200000000,-70.2233300000000
