"","Dengue Yearly","Leish Yearly"
"5km x 2000","0.339 (0.461)","-2.27 (1.31)"
"5km x 2001","0.430 (0.511)","-0.602 (1.84)"
"5km x 2002","0.388 (0.547)","-4.77* (2.09)"
"5km x 2003","0.388 (0.470)","0.463 (1.74)"
"5km x 2004","0.750 (0.613)","0.181 (1.15)"
"5km x 2005","0.158 (0.317)","1.64 (2.51)"
"5km x 2006","0.200 (0.271)","-1.63 (1.61)"
"5km x 2007","1.17 (0.821)","-3.24* (1.48)"
"5km x 2008","----","----"
"5km x 2009","2.65 (1.44)","-1.30 (0.921)"
"5km x 2010","8.72* (4.01)","-1.96* (0.923)"
"5km x 2011","4.77* (1.98)","-1.56 (1.18)"
"5km x 2012","8.31* (3.43)","-0.329 (1.62)"
"5km x 2013","5.40* (2.53)","2.30 (2.15)"
"5km x 2014","2.21 (1.71)","-0.343 (1.22)"
"5km x 2015","2.32* (1.07)","0.015 (2.34)"
"5km x 2016","1.23 (0.892)","0.280 (1.26)"
"5km x 2017","0.705 (1.05)","-2.18 (1.55)"
"5km x 2018","3.64 (2.15)","0.303 (1.53)"
"5km x 2019","24.9* (11.7)","-0.296 (1.53)"
"5km x 2020","8.68* (2.60)","-0.336 (1.54)"
"5km x 2021","2.07 (1.14)","0.192 (1.47)"
"5km x 2022","3.06 (2.19)","-0.353 (1.44)"
"Urban","0.476 (0.544)","-0.020 (0.162)"
"Agriculture","0.035 (0.133)","0.013 (0.036)"
"Precipitation","7.90 (8.99)","-11.0* (3.65)"
"Temperature","6.20 (3.70)","3.33 (2.10)"
"Temperature^2","-0.007 (0.560)","0.141 (0.154)"
"FEs","--------------","--------------"
"Unit","X","X"
"Year","X","X"
"R^2","0.269","0.393"
"N","1,863","1,863"
"Units","81","81"
