"","Dengue Yearly","Dengue Biannual Dry","Dengue Biannual Rainy","Leish Yearly","Leish Biannual Dry","Leish Biannual Rainy"
"5km x Post-2008 Yearly","6.73* (3.36)","","","-0.38 (1.05)","",""
"5km x Post-2008 Biannual","","2.06 (1.14)","4.12* (2.07)","","-0.21 (0.65)","0.29 (0.65)"
"Urban","-1.16 (0.71)","-0.50* (0.24)","-0.72 (0.42)","0.09 (0.22)","0.03 (0.14)","0.01 (0.13)"
"Agriculture","-0.03 (0.16)","0.03 (0.05)","-0.03 (0.09)","-0.05 (0.05)","-0.05 (0.03)","-0.04 (0.03)"
"Precipitation","6.27 (11.99)","11.68 (9.59)","6.73 (8.46)","-10.13* (3.74)","-14.90* (5.48)","-2.81 (2.66)"
"Temperature^2","-0.00 (7.51)","1.54 (1.68)","4.48 (4.45)","7.54* (2.34)","2.23* (0.96)","1.78 (1.40)"
"FEs","-------------","---------------","---------------","--------------","--------------","--------------"
"Unit","X","X","X","X","X","X"
"Year","X","","","X","",""
"Biannual","","X","X","","X","X"
