"","Term","Estimate (SE)"
"1","(Intercept)","-0.14 (4.56)"
"2","5km x Post-2008 Yearly","6.91* (3.35)"
"4","5km","20.79 (17.03)"
"3","Post-2008 Yearly","-1.60 (5.45)"
"5","Urban","-1.10 (0.71)"
"6","Agriculture","0.01 (0.16)"
"7","Precipitation","5.49 (12.00)"
"8","Temperature","6.80 (7.70)"
"9","Temperature^2","0.45 (1.06)"
"10","Unit FE: 2","-2.42 (5.24)"
"11","Unit FE: 3","-3.93 (6.65)"
"12","Unit FE: 4","0.11 (5.84)"
"13","Unit FE: 5","-3.82 (7.24)"
"14","Unit FE: 6","-3.76 (7.11)"
"15","Unit FE: 7","-1.39 (7.85)"
"16","Unit FE: 8","-3.49 (7.15)"
"17","Unit FE: 9","-8.84 (5.36)"
"18","Unit FE: 10","-29.04* (11.57)"
"19","Unit FE: 12","-25.17* (10.55)"
"20","Unit FE: 13","-11.97 (6.13)"
"21","Unit FE: 14","-3.03 (5.67)"
"22","Unit FE: 15","-19.71* (7.86)"
"23","Unit FE: 16","-29.42* (13.18)"
"24","Unit FE: 17","-28.62* (12.49)"
"25","Unit FE: 18","-28.84* (12.87)"
"26","Unit FE: 19","12.66* (5.39)"
"27","Unit FE: 20","-2.87 (7.13)"
"28","Unit FE: 21","-1.60 (7.27)"
"29","Unit FE: 24","-28.49* (13.12)"
"30","Unit FE: 26","-2.28 (6.02)"
"31","Unit FE: 27","-29.49* (14.69)"
"32","Unit FE: 28","-2.43 (5.76)"
"33","Unit FE: 29","-2.34 (6.00)"
"34","Unit FE: 30","-2.61 (5.93)"
"35","Unit FE: 31","-1.98 (5.63)"
"36","Unit FE: 32","-2.97 (6.03)"
"37","Unit FE: 34","-15.25 (13.91)"
"38","Unit FE: 35","-1.89 (5.64)"
"39","Unit FE: 36","-0.95 (5.70)"
"40","Unit FE: 37","-11.74 (14.36)"
"41","Unit FE: 38","-11.59 (13.93)"
"42","Unit FE: 39","-2.18 (6.07)"
"43","Unit FE: 40","-1.39 (6.11)"
"44","Unit FE: 41","-22.29 (13.00)"
"45","Unit FE: 42","-1.85 (6.82)"
"46","Unit FE: 44","-2.61 (6.40)"
"47","Unit FE: 45","-4.65 (26.77)"
"48","Unit FE: 46","8.41 (13.02)"
"49","Unit FE: 47","-10.68 (36.17)"
"50","Unit FE: 48","-7.61 (17.23)"
"51","Unit FE: 49","-21.84 (16.47)"
"52","Unit FE: 50","-22.43 (16.79)"
"53","Unit FE: 52","-26.33 (16.88)"
"54","Unit FE: 53","6.28 (17.16)"
"55","Unit FE: 54","-1.13 (5.47)"
"56","Unit FE: 55","-15.52 (26.81)"
"57","Unit FE: 56","16.90 (10.81)"
"58","Unit FE: 57","1.13 (5.87)"
"59","Unit FE: 58","11.18 (10.82)"
"60","Unit FE: 59","10.38 (10.35)"
"61","Unit FE: 60","-12.10 (25.46)"
"62","Unit FE: 62","12.42* (5.54)"
"63","Unit FE: 64","8.47 (5.52)"
"64","Unit FE: 65","0.02 (5.40)"
"65","Unit FE: 66","1.74 (5.50)"
"66","Unit FE: 67","0.24 (5.33)"
"67","Unit FE: 68","-0.43 (5.24)"
"68","Unit FE: 69","-0.86 (5.26)"
"69","Unit FE: 70","-10.32 (12.81)"
"70","Unit FE: 71","-22.23 (14.64)"
"71","Unit FE: 72","-28.57 (15.92)"
"72","Unit FE: 73","-27.34 (14.79)"
"73","Unit FE: 74","-7.26 (13.52)"
"74","Unit FE: 75","-0.46 (6.28)"
"75","Unit FE: 76","-28.72* (13.99)"
"76","Unit FE: 77","-27.05 (14.26)"
"77","Unit FE: 78","-25.59* (12.69)"
"78","Unit FE: 79","-26.71 (15.26)"
"79","Unit FE: 80","-27.19 (14.39)"
"80","Unit FE: 81","-28.39* (14.08)"
"81","Unit FE: 82","6.23 (8.54)"
"82","Unit FE: 83","-24.34 (14.70)"
"83","Unit FE: 84","-25.91 (14.50)"
"84","Unit FE: 85","-27.08 (14.93)"
"85","Unit FE: 86","0.01 (6.84)"
"86","Unit FE: 87","-26.14* (12.82)"
"87","Unit FE: 99","18.82* (5.30)"
"88","Unit FE: 100","-2.99 (5.60)"
"89","Unit FE: 103","Dropped (collinear)"
"90","Year FE: 2009-01-01","-1.36 (5.11)"
"91","Year FE: 2010-01-01","-0.93 (2.71)"
"92","Year FE: 2011-01-01","-0.81 (3.33)"
"93","Year FE: 2012-01-01","2.81 (4.59)"
"94","Year FE: 2013-01-01","3.26 (4.37)"
"95","Year FE: 2014-01-01","0.36 (4.68)"
"96","Year FE: 2015-01-01","-4.14 (3.06)"
"97","Year FE: 2016-01-01","-4.44 (2.59)"
"98","Year FE: 2017-01-01","-3.78 (2.89)"
"99","Year FE: 2018-01-01","1.36 (4.97)"
"100","Year FE: 2019-01-01","16.60* (2.99)"
"101","Year FE: 2020-01-01","-2.80 (4.56)"
"102","Year FE: 2021-01-01","-3.64 (2.59)"
"103","Year FE: 2022-01-01","Dropped (collinear)"
